timestamp;Particle size (mm);Particle speed (mm/h)
2023-02-23T16:55:00.228456;00.589;01.701
2023-02-23T16:55:00.228456;00.676;02.688
2023-02-23T16:55:00.228456;00.586;01.832
2023-02-23T16:55:00.228456;00.626;01.600
2023-02-23T16:55:00.228456;00.819;02.324
2023-02-23T16:55:00.228456;00.567;01.731
2023-02-23T16:55:00.228456;00.528;01.612
2023-02-23T16:55:00.228456;01.263;03.387
2023-02-23T16:55:00.228456;00.664;01.945
2023-02-23T16:55:00.228456;00.597;02.012
2023-02-23T16:55:00.228456;00.639;01.769
2023-02-23T16:55:00.228456;00.580;01.760
2023-02-23T16:55:00.228456;00.997;03.446
2023-02-23T16:55:00.228456;00.531;01.921
2023-02-23T16:55:00.228456;00.828;02.649
2023-02-23T16:55:00.228456;01.045;03.212
2023-02-23T16:55:00.228456;00.595;03.027
2023-02-23T16:55:00.228456;00.789;02.887
2023-02-23T16:55:00.228456;00.716;02.625
2023-02-23T16:55:00.228456;01.294;04.029
2023-02-23T16:55:00.228456;00.458;00.919
2023-02-23T16:55:00.228456;00.337;03.079
2023-02-23T16:55:00.228456;00.631;02.072
2023-02-23T16:55:00.228456;00.620;01.540
2023-02-23T16:55:00.228456;00.618;01.731
2023-02-23T16:55:00.228456;00.787;02.064
2023-02-23T16:55:00.228456;00.964;03.739
2023-02-23T16:55:00.228456;00.595;01.447
2023-02-23T16:55:00.228456;00.490;01.222
2023-02-23T16:55:00.228456;01.038;03.543
2023-02-23T16:55:00.228456;00.605;01.595
2023-02-23T16:55:00.228456;00.448;01.069
2023-02-23T16:55:00.228456;00.546;01.223
2023-02-23T16:55:00.228456;00.695;01.728
2023-02-23T16:55:00.228456;00.626;01.825
2023-02-23T16:55:00.228456;00.820;02.066
2023-02-23T16:55:00.228456;00.581;01.772
2023-02-23T16:55:00.228456;00.958;03.634
2023-02-23T16:55:00.228456;00.637;01.442
2023-02-23T16:55:00.228456;01.192;04.468
2023-02-23T16:55:00.228456;00.623;01.225
2023-02-23T16:55:00.228456;00.670;01.902
2023-02-23T16:55:00.228456;00.533;01.463
2023-02-23T16:55:00.228456;00.534;01.026
2023-02-23T16:55:00.228456;00.560;01.288
2023-02-23T16:55:00.228456;00.534;01.016
2023-02-23T16:55:00.228456;00.542;01.166
2023-02-23T16:55:00.228456;00.542;00.849
2023-02-23T16:55:00.228456;00.554;00.375
2023-02-23T16:55:00.228456;00.732;02.212
2023-02-23T16:55:00.228456;00.542;01.363
2023-02-23T16:55:00.228456;00.582;01.206
2023-02-23T16:55:00.228456;00.618;01.134
2023-02-23T16:55:00.228456;00.803;01.743
2023-02-23T16:55:00.228456;00.546;01.129
2023-02-23T16:55:00.228456;00.565;01.294
2023-02-23T16:55:00.228456;00.542;01.161
2023-02-23T16:56:00.765872;00.744;02.300
2023-02-23T16:56:00.765872;00.674;01.293
2023-02-23T16:56:00.765872;01.023;02.855
2023-02-23T16:56:00.765872;00.536;00.856
2023-02-23T16:56:00.765872;00.654;01.236
