timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulated 16bit (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-25T00:00:00.452501;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12879;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;23:57:59;24.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:01:00.426553;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12889;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;23:58:59;24.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:02:00.398649;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12896;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;23:59:59;24.02.2023;GV;008;0003.69;000;018;011;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:03:00.372191;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12874;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:00:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:04:00.345880;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12887;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:01:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:05:00.318652;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12882;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:02:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:06:00.292033;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12901;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:03:59;25.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:07:00.265968;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12910;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:04:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:08:00.240190;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12913;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:05:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:09:00.212993;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12911;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:06:59;25.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:10:00.186635;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12907;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:07:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:11:00.160250;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12906;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:08:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:12:00.133441;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12907;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:09:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:13:00.106135;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12909;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:10:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:14:00.080143;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12926;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:11:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:15:00.052375;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12903;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:12:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:16:00.025712;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12915;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:13:59;25.02.2023;GV;008;0003.69;000;018;011;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:17:00.001341;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12910;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:14:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
